---------------------------------------------------------------
Spectrum  |     Observed     |  Rel. |    Aki     | Acc. |Type|
          |    Wavelength    |  Int. |   (s^-1)   |      |    |
          |     Air (nm)     |       |            |      |    |
---------------------------------------------------------------
O II      |        477.4059  |     3 | 1.36e+05   | D    |    |
O II      |        484.3366  |     8 |            |      |    |
O II      |        484.4913  |     8 | 1.02e+06   | D    |    |
O II      |        485.6395  |    11 | 5.58e+06   | C    |    |
O II      |        485.6758  |    13 | 1.00e+07   | C    |    |
          |                  |       |            |      |    |
O II      |        486.0968  |    12 | 4.70e+07   | C    |    |
O II      |        486.4879  |    11 | 8.07e+06   | C    |    |
O II      |        487.1520  |    15 | 5.60e+07   | C    |    |
O II      |        487.2005  |     6 | 9.34e+06   | D    |    |
O II      |        489.0858  |    15 | 5.10e+07   | C+   |    |
          |                  |       |            |      |    |
O II      |        490.6833  |    19 | 4.78e+07   | C+   |    |
O II      |        492.4531  |    21 | 5.43e+07   | C+   |    |
O V       |        493.027   |  230w |            |      |    |
O II      |        494.1069  |    18 | 6.04e+07   | B    |    |
O II      |        494.2999  |    20 | 7.88e+07   | B    |    |
          |                  |       |            |      |    |
O II      |        495.5705  |    14 | 1.81e+07   | B    |    |
O II      |        504.1976  |     2 | 5.98e+04   | C    |    |
O II      |        507.0800  |     3 | 7.38e+04   | C    |    |
O II      |        509.0920  |     2 |            |      |    |
O II      |        511.0300  |     6 | 7.22e+05   | D    |    |
          |                  |       |            |      |    |
O II      |        515.9942  |    15 | 3.12e+07   | B    |    |
O II      |        517.5896  |    12 | 1.46e+07   | B    |    |
O II      |        519.0496  |    14 | 1.18e+07   | B    |    |
O II      |        520.6650  |    20 | 3.33e+07   | B    |    |
O II      |        532.2525  |     2 |            |      |    |
          |                  |       |            |      |    |
O I       |        532.910   |  135* | 2.71e+06   | C+   |    |
O I       |        532.910   |  135* | 2.03e+06   | C+   |    |
O I       |        532.968   |   160 | 1.58e+06   | C+   |    |
O I       |        533.074   |   190 | 2.71e+06   | C+   |    |
O II      |        534.4104  |     2 | 1.46e+04   | C    |    |
          |                  |       |            |      |    |
O II      |        537.4351  |     6 | 4.15e+04   | C    |    |
O II      |        537.7568  |     5 | 9.68e+04   | E    |    |
O II      |        537.9352  |     7 | 9.67e+05   | D    |    |
O II      |        538.1772  |     1 | 7.55e+03   | C    |    |
O II      |        539.2611  |    10 | 8.64e+05   | D    |    |
          |                  |       |            |      |    |
O II      |        540.9203  |     1 | 3.10e+04   | C    |    |
O II      |        541.5772  |     5 |            |      |    |
O II      |        542.3639  |     1 | 2.81e+04   | C    |    |
O I       |        543.518   |    90 | 7.74e+05   | C+   |    |
O I       |        543.578   |   110 | 1.29e+06   | C+   |    |
          |                  |       |            |      |    |
O I       |        543.686   |   135 | 1.80e+06   | C+   |    |
O II      |        546.1040  |     2 | 6.53e+04   | C    |    |
O I       |        557.734   |   120 | 1.26e+00   | B+   | E2 |
O II      |        558.3232  |    10 | 2.17e+06   | D    |    |
O III     |        559.237   |   110 | 3.27e+07   | B    |    |
          |                  |       |            |      |    |
O V       |        559.791   |   130 | 1.48e+07   | B    |    |
O II      |        561.1061  |     5 | 2.14e+06   | D    |    |
O II      |        561.3472  |     6 |            |      |    |
O II      |        575.3917  |     5 | 1.27e+05   | C+   |    |
O II      |        576.1008  |    11 | 6.39e+05   | C+   |    |
          |                  |       |            |      |    |
O II      |        578.3788  |   3w* |            |      |    |
O II      |        578.3788  |   3w* |            |      |    |
O II      |        581.0243  |     9 | 5.24e+05   | C+   |    |
O II      |        584.6232  |    11 |            |      |    |
O II      |        590.3078  |     4 |            |      |    |
          |                  |       |            |      |    |
O I       |        595.839   |  160* | 3.78e+05   | C+   |    |
O I       |        595.839   |  160* | 6.80e+05   | C+   |    |
O I       |        595.858   |  190* | 2.27e+05   | C+   |    |
O I       |        595.858   |  190* | 2.52e+04   | C    |    |
O I       |        595.858   |  190* | 9.06e+05   | C+   |    |
          |                  |       |            |      |    |
O I       |        599.528   |    80 |            |      |    |
O I       |        604.623   |   160 | 1.05e+06   | C+   |    |
O I       |        604.644   |   190 | 1.75e+06   | C+   |    |
O I       |        604.649   |   110 | 3.50e+05   | C+   |    |
O II      |        608.1224  |     4 | 4.25e+05   | D    |    |
          |                  |       |            |      |    |
O II      |        610.3386  |     7 | 8.36e+05   | D    |    |
O I       |        610.627   |   100 |            |      |    |
O II      |        611.2987  |     7 | 3.64e+06   | C    |    |
O II      |        615.2566  |     8 | 7.14e+06   | C    |    |
O I       |        615.598   |   400 | 5.72e+06   | B+   |    |
          |                  |       |            |      |    |
O I       |        615.677   |   450 | 5.08e+06   | B+   |    |
O I       |        615.818   |   490 | 7.62e+06   | B+   |    |
O II      |        619.7922  |     1 |            |      |    |
O II      |        621.4250  |     9 | 1.04e+07   | C    |    |
O I       |        625.683   |    80 |            |      |    |
          |                  |       |            |      |    |
O I       |        626.155   |   100 |            |      |    |
O II      |        635.7961  |     4 |            |      |    |
O I       |        636.634   |   100 |            |      |    |
O I       |        637.432   |   100 |            |      |    |
O I       |        645.360   |   320 | 1.65e+06   | C+   |    |
          |                  |       |            |      |    |
O I       |        645.444   |   360 | 2.75e+06   | C+   |    |
O I       |        645.598   |   400 | 3.85e+06   | C+   |    |
O II      |        645.7047  |     2 |            |      |    |
O II      |        645.7806  |    2* |            |      |    |
O II      |        645.7806  |    2* |            |      |    |
          |                  |       |            |      |    |
O II      |        645.7806  |    2* |            |      |    |
O II      |        647.1424  |    6* |            |      |    |
O II      |        647.1424  |    6* |            |      |    |
O II      |        647.3891  |     1 |            |      |    |
O II      |        647.5274  |     6 |            |      |    |
          |                  |       |            |      |    |
O II      |        647.7910  |    10 |            |      |    |
O II      |        648.3979  |    12 |            |      |    |
O II      |        648.5093  |     7 |            |      |    |
O II      |        648.6461  |     7 |            |      |    |
O II      |        649.1924  |    11 |            |      |    |
          |                  |       |            |      |    |
O II      |        649.5802  | 11bl* | 1.48e+06   | D    |    |
O II      |        649.5802  | 11bl* |            |      |    |
O II      |        649.8416  |     7 |            |      |    |
O V       |        650.024   |   130 | 1.11e+07   | B    |    |
O II      |        650.0828  |     4 |            |      |    |
          |                  |       |            |      |    |
O II      |        650.1410  |     7 |            |      |    |
O II      |        650.2187  |     4 |            |      |    |
O II      |        650.2450  |     5 |            |      |    |
O II      |        650.6027  |     7 |            |      |    |
O II      |        650.9711  |     8 |            |      |    |
          |                  |       |            |      |    |
O II      |        651.0622  |   8bl |            |      |    |
O II      |        651.0752  |    13 |            |      |    |
O II      |        653.5828  |     3 |            |      |    |
O II      |        653.7557  |     3 |            |      |    |
O II      |        653.9369  |     4 |            |      |    |
          |                  |       |            |      |    |
O II      |        655.0144  |    16 |            |      |    |
O II      |        655.0598  |     4 |            |      |    |
O II      |        655.1757  |     4 |            |      |    |
O II      |        655.4619  |     3 |            |      |    |
O II      |        655.5845  |     7 |            |      |    |
          |                  |       |            |      |    |
O II      |        655.6068  |    4* |            |      |    |
O II      |        655.6068  |    4* |            |      |    |
O II      |        655.6068  |    4* |            |      |    |
O II      |        655.9060  |   7bl |            |      |    |
O II      |        656.0369  |    7* |            |      |    |
          |                  |       |            |      |    |
O II      |        656.0369  |    7* |            |      |    |
O II      |        656.5283  |    20 | 2.86e+07   | D    |    |
O II      |        657.1100  |    18 | 2.99e+07   | D    |    |
O II      |        658.9006  |     6 |            |      |    |
O I       |        660.491   |    80 |            |      |    |
          |                  |       |            |      |    |
O II      |        662.7385  |    17 | 1.73e+07   | D    |    |
O II      |        664.1054  |    24 | 9.88e+06   | B+   |    |
O II      |        664.6350  |     4 |            |      |    |
O II      |        665.2563  |     4 |            |      |    |
O I       |        665.383   |   100 |            |      |    |
          |                  |       |            |      |    |
O II      |        666.6667  |    13 | 6.78e+06   | D    |    |
O II      |        667.7862  |    12 | 3.37e+06   | D    |    |
O II      |        671.7751  |    15 | 1.33e+07   | D    |    |
O II      |        672.1398  |    26 | 1.81e+07   | B+   |    |
O II      |        677.4973  |     9 | 1.75e+06   | D    |    |
          |                  |       |            |      |    |
O II      |        684.6813  |    11 | 3.17e+06   | C    |    |
O II      |        686.9485  |    11 | 5.35e+06   | C    |    |
O II      |        688.4911  |    11 | 6.12e+06   | C    |    |
O II      |        689.5109  |    22 | 2.72e+07   | C    |    |
O II      |        690.6443  |    19 | 2.48e+07   | C    |    |
          |                  |       |            |      |    |
O II      |        690.7872  |    15 | 3.03e+07   | C    |    |
O II      |        691.0562  |    19 | 2.43e+07   | C    |    |
O II      |        692.2355  |     6 |            |      |    |
O II      |        693.6019  |     5 |            |      |    |
